word,meaning
rocking chair,흔들의자
cane,지팡이
grandpa,할아버지
mint,민트; 박하
magazine,잡지
butterscotch candy,버터스카치 캔디
pet,쓰다듬다
rest,쉬다
mind,꺼리다
Mudge didn't mind. He liked tired grandpas.,머지는 꺼리지 않았다. 그는 피곤한 할아버지들을 좋아했다.
set off,출발하다
Henry and Mudge went looking for adventure.,헨리와 머지는 모험을 찾아 나섰다.
crunchy,바삭바삭한
sniff,냄새를 맡다
disappear,사라지다
bush,덤불
stump,그루터기
peek,몰래 보다
den,굴
clearing,빈터
meadow,초원
butterfly,나비
pond,연못
Just right for swimming!,수영하기 딱 좋은 곳이야!
No swimming alone.,혼자 수영하지 마.
Let's go get Dad.,아빠를 데리러 가자.
dog-paddling,개헤엄
underwear,속옷
No girls allowed.,여자는 안 돼.
It took a while to get there.,거기에 도착하는 데 시간이 좀 걸렸다.
raft,뗏목
giggle,낄낄 웃다
lay,눕다
They lay in the sun.,그들은 햇볕에 누웠다.
navy,남색
grass,풀
without,~없이
porch,현관
