word,meaning
cousin,사촌
frilly,프릴 장식의
mean,몹시 능숙한; 비열한; 의미하다; 평균
She could throw a mean Frisbee.,그녀는 프리스비를 엄청 잘 던질 수 있었다.
moving,이사
thrilled,매우 신난
careful,조심스러운
nervous,긴장된
million,백만
zillion,엄청나게 많은 수
mess,엉망
probably,아마도
Her house is probably a mess right now.,그녀의 집은 지금 아마 엉망일 거야.
as much,~만큼
But not as much of a mess as I am.,하지만 나만큼 엉망은 아니야.
blotchy,두드러기가 있는; 반점이 난
break out,두드러기가 나다
I break out when I’m nervous.,나는 긴장하면 두드러기가 나.
nod,끄덕이다
lace hanky (handkerchief),레이스 손수건
Do you know what I do when I get nervous?,내가 긴장될 때 무엇을 하는지 알아?
crawl,기어가다
I crawl under the covers with Mudge.,나는 머지와 함께 이불 속으로 기어간다.
backseat,뒷자석
blanket,담요
Annie and Mudge stayed under the covers all morning long.,애니와 머지는 아침 내내 이불 속에 있었다.
drink,마시다
load,짐을 싣다
peek inside,안을 몰래 엿보다
unload,짐을 내리다
unpack,짐을 풀다
We’ll wish for something good for Annie.,우리는 애니에게 좋은 일이 생기길 빌어줄 거야.
blow,불다
Annie will blow out the candle.,애니가 촛불을 끌 거야.
All of Annie’s blotches went away.,애니의 모든 두드러기가 사라졌다.
