word,meaning
arithmetic,산수
It was time to see how much we knew about arithmetic.,우리가 산수에 대해 얼마나 알고 있는지 볼 시간이었다.
Principal,교장 선생님
How many apples would you have left?,사과가 몇 개 남을까요?
who cares,누가 상관해
bother,귀찮게 하다
in the front of,~의 앞쪽에
smart,똑똑한
multiply,곱하다
four times four,4 곱하기 4
scratch her head,그 여자가 머리를 긁적이다
wrinkle,주름
forehead,이마
figure out,이해하다
explain,설명하다
smarty-pants-I-know-everything-girl,뭐든-다-아는-체하는-잘난척-여자애
beat me,나를 이기다
on first,첫 번째로
a bunch of crayons,크레용 한 다발
She counted the crayons from one to sixteen.,그녀는 크레용을 1부터 16까지 세었다.
a puzzled look,어리둥절한 표정
I’m not sure I understand.,이해가 잘 안 돼요.
row,줄
Miss Daisy still had a look on her face like she didn’t understand.,데이지 선생님은 여전히 이해하지 못한 듯한 표정을 지었다.
subtract,빼다
accordion,아코디언
gather,모으다
add,더하다
divide,나누다
Nothing worked.,아무것도 효과가 없었다.
No matter how many times we tried to explain,아무리 여러 번 설명을 시도해도
a while,잠시
break the rules,규칙을 어기다
dungeon,지하 감옥
basement,지하실
get locked up,갇히다
get forced to,~하도록 강요받다
listen,듣다
be on our best behavior,최선의 행동을 하다
mature,성숙한
cheerfully,명랑하게
run in the halls,복도에서 뛰다
chew gum,껌 씹다
listen closely,주의 깊게 듣다
stare,응시하다
He had no hair at all!,그는 머리카락이 전혀 없었다!
Did all your hair fall out of your head?,머리카락이 모두 빠졌나요?
cut it off,잘라버리다
laugh,웃다
a mean face,심술궂은 표정
reply,대답하다
chuckle,낄낄거리며 웃다
shave,면도하다
the rest of it,나머지
That’s the saddest story I ever heard!,그것은 내가 들은 가장 슬픈 이야기야!
burst into tears,갑자기 울음을 터뜨리다
bald head,대머리
evil,사악한
villain,악당
I bet,나는 ~라고 확신해
