word,meaning
modern,현대
necessary,필요한
plenty,많은
profit,이익
reduce,줄이다
share,공유
steal,훔치다
trust,믿음
wish,소원
young,젊은
admire,감탄하다
allow,허용하다
battle,전투
climb,상승
complete,완전한
divide,나누기
effort,노력
fresh,신선한
hole,구멍
indeed,과연
marriage,결혼
outside,외부
pleasant,쾌적한
point,포인트
recent,충적세
secretary,비서
sing,노래
soft,부드러운
third,제삼
various,여러
adventure,모험
although,이기는 하지만
bottom,바닥
coin,동전
comfort,위로
drop,하락
equal,같은
gun,총
intelligent,지적인
join,어울리다
laugh,웃음
middle,가운데
perform,행하다
plain,평원
row,열
soldier,병사
surface,표면
thick,두꺼운
until,까지
wild,야생
