word,meaning
They had dug a hole so deep you could have put a house into it.,그들은 집 하나를 넣을 수 있을 정도로 깊은 구멍을 팠다.
They had not yet come to the end of the foxes' tunnel.,그들은 아직 여우들의 터널 끝에 도달하지 못했다.
stare at,응시하다
swig,한 모금
front porch,현관 앞 베란다
I'm not giving in till I've strung him over my front porch.,그를 내 현관 앞 베란다에 매달기 전까지는 물러서지 않겠다.
pot-bellied,뱃살이 나온
dwarf,난쟁이
I can't hear you.,네 말이 안 들려.
take a bath,목욕하다
clogged,막힌
His earholes were clogged.,그의 귀구멍이 막혀 있었다.
muck,오물
dead flies,죽은 파리들
Speak louder!,더 크게 말해!
mechanical,기계적인
take charge,책임을 맡다
fetch,가져오다
enormous,거대한
caterpillar,애벌레
tractor,트랙터
clank,덜컹거리는 소리
murderous,살인적인
brutal-looking,잔인해 보이는
topple,넘어지다
matchstick,성냥개비
earthquake,지진
daylight,일광
The mouth of the tunnel was only a few feet away from them.,터널 입구는 그들로부터 불과 몇 피트 떨어져 있었다.
Dig for your lives.,목숨을 걸고 파라.
