word,meaning
ocean,바다
vast,광대한
twice as much,두 배나 많은
in fact,사실은
square,제곱
surface,표면
deep,깊은
underneath the water,수면 아래
valley,계곡
coral reef,산호초
volcano,화산
Pacific ocean,태평양
Atlantic ocean,대서양
Indian ocean,인도양
Arctic ocean,북극해
dolphin,돌고래
creature,생명체
What is life in the ocean like?,바다 속 생명은 어떤 모습일까?
salty,짠 (소금기가 많은)
spread out,펼쳐지다
soil,흙
stay alive,살아있다
depth,깊이
layer,층
sunlit zone,햇빛 구역
twilight zone,황혼 구역
midnight zone,한밤중 구역
tiny,아주 작은
plankton,플랑크톤
use plankton for food,플랑크톤을 먹이로 이용하다
whale,고래
turtle,거북
squid,오징어
jellyfish,해파리
marine animal,해양 동물
sunlight,햇빛
adapt,적응하다
organ,장기
reach to,~에 도달하다
It is very dark and cold there.,그곳은 매우 어둡고 춥다.
shine,빛나다
temperature,온도
odd,이상한
amazing,놀라운
food chain,먹이 사슬
In the ocean larger and stronger animals eat smaller and weaker ones.,바다에서는 더 크고 강한 동물이 더 작고 약한 동물을 먹는다.
scientist,과학자
predator,포식자
prey,먹이
scavenger,청소동물
leftover,남은 것
vacuum cleaner,진공 청소기
shore,해안
skeleton,해골
coral,산호
habitat,서식지
rain forest,열대 우림
cliff,절벽
as if,마치 ~인 것처럼
cave,동굴
purple,보라색
colorful,다채로운
octopus,문어
tentacle,촉수
The octopus uses its eight tentacles to grab food.,문어는 여덟 개의 촉수로 먹이를 잡는다.
poisonous,독이 있는
quill,가시
puffer fish,복어
sea anemone,말미잘
resemble,닮다
zoologist,동물학자
flipper,지느러미
bone,뼈
Dolphins adapted to life in the water.,돌고래는 물속 생활에 적응했다.
Their legs turned into strong tails.,그들의 다리는 강한 꼬리로 변했다.
sleek,매끄러운
graceful,우아한
develop,발전시키다
breathe,숨쉬다
communicate,소통하다
species,종
in common,공통적으로
belong to,~에 속하다
Cetacea,고래목
teeth,이빨
mammal,포유류
warm-blooded,온혈의
no matter what,무엇이든 간에
Their body temperature stays about the same no matter what the outside temperature is.,외부 온도가 어떻든 그들의 체온은 거의 동일하게 유지된다.
lung,폐
instead of,~대신에
lay egg,알을 낳다
give birth to,~을 낳다
record,기록하다
leap out of the water,물 밖으로 뛰어오르다
plunge back,다시 빠져들다
as fast as,~만큼 빠르게
shallow dive,얕은 잠수
as high as,~만큼 높게
fluke,꼬리지느러미
motor,모터
steer,조종하다
breathe,호흡하다
blowhole,숨구멍
just before,직전에
inhale,들이쉬다
flap,펄럭이다
trap the air,공기를 가두다
rubber,고무
slippery,미끄러운
easily,쉽게
flow,흐르다
Water flows easily around it.,물이 그 주위를 쉽게 흐른다.
smooth,매끄러운
shed,떨어뜨리다
fat,지방
blubber,고래 기름
winter coat,겨울 털
often,종종
thicker,더 두꺼운
sink,가라앉다
echo,메아리
location,위치
made up of,~로 구성된
click,찰칵 소리
whistle,휘파람
noise,소음
bounce off,튀어 나오다
vibrate,진동하다
direction,방향
distance,거리
killer whale,범고래
harmful,해로운
