word,meaning
wake up,일어나다
Saturday,토요일
February,2월
muddy,진흙 투성이의
yuck,윽; 우왝
lean against,~에 기대다
weekend,주말
What are we going to do all weekend?,우리 주말 내내 뭘 할 거야?
grumble,불평하다
boring,지루한
grow,자라다
flatten,평평하게 만들다
How are we going to get up?,우리 어떻게 일어날 거야?
breakfast,아침 식사
stay awake,깨어 있다
nod,끄덕이다
His head kept nodding.,그의 머리가 계속 끄덕였다.
bored,지루한
frown,인상을 쓰다
crank,꾸물거리다
grumpy,까다로운
pre-spring meanies,봄이 오기 전 우울함
castle,성
refrigerator,냉장고
stove,난로
basement,지하실
turret,작은 탑
drawbridge,들다리
buttress,부벽
stapler,스테이플러
Henry ran upstairs for his book.,헨리는 책을 가지려고 위층으로 달려갔다.
take a look,한번 보다
awhile longer,좀 더 오랫동안
They each imagined how it would look when it was done.,그들은 각자 그것이 완성됐을 때 어떻게 보일지 상상했다.
fancy,화려한
crawl,기어가다
hardly,거의 ~않다
He could hardly wait to finish the castle.,그는 성을 완성하길 간절히 기다렸다.
She was always better at thinking up ideas than finishing them.,그녀는 아이디어를 생각해내는 것이 그것을 완성하는 것보다 항상 더 뛰어났다.
besides,게다가
sniff,킁킁거리다
screwdriver,드라이버
rag,걸레
decoration,장식
pay attention,주의를 기울이다
call out,외치다
Is there life down there?,저기 아래 생명이 있나요?
Not yet!,아직요!
knight,기사
admire,감탄하다
thrilled,매우 흥분한
