English,Korean
all,모두 
and,과 
boy,소년 
car,차 
cat,고양이 
day,일 
end,종료 
family,가족 
home,집 
it,그것
man,남자
name,이름
one,하나
people,사람들
read,읽다
school,학교
speak,말하다
the,the
this,이
you,당신
ask,물어보기
book,책
can,할 수있다
dog,개
eye,눈
first,먼저
go,가다
he,그
child,아이
in,에
learn,배우다
morning,아침
open,열다
play,플레이
question,질문
room,방
say,말하다
start,스타트
today,오늘
word,워드
about,약
at,에서
brother,동료
drink,음주
easy,쉬운
father,아버지
girl,소녀
help,도움
chair,의자
know,알고있다
my,나의
new,새로운
paper,종이
please,부디
rich,풍부한
she,여자
show,보여 주다
son,아들
they,그들
what,뭐
always,항상
be,있다
body,몸
careful,꼼꼼한
cry,울음 소리
door,문
everything,모두
face,얼굴
her,그녀
if,만약
many,많은
no,아니
pen,펜
place,장소
road,도로
stop,중지
student,학생
two,두
want,필요
where,어디
answer,대답
between,중에서
clear,맑은
country,국가
dance,댄스
do,하다
each,마다
friend,친구
his,그의
job,일
life,생명
more,더
park,공원
person,사람
ready,준비된
second,둘째
soon,곧
that,그
we,우리
why,왜
able,할 수 있는
before,전에
but,그러나
clean,깨끗한
close,닫기
dream,꿈
eight,여덟
for,에 대한
hand,손
inside,내부
now,지금
or,또는
picture,그림
river,강
ship,배
shop,가게
sit,앉다
table,표
very,대단히
write,쓰다
air,공기
black,검정
cinema,영화
daughter,딸
eat,먹다
from,에서
good,좋은
head,머리
cheese,치즈
important,중대한
land,나라
money,돈
pay,지불
problem,문제
run,운영
same,같은
see,보다
send,보내다
thing,맡은 일
work,작업
any,어떤
as,같이
better,보다 나은
cold,춥다
come,왔다
doctor,박사님
find,찾기
game,경기
idea,생각
kind,종류
live,(v) 라이브
make,하다
peace,평화
popular,인기 있는
right,권리
small,작은
so,그래서
some,약간
there,그곳에
wait,기다림
again,다시
back,뒤
could,할 수 있었다
document,문서
egg,계란
fire,불
give,주기
chance,기회
information,정보
light,빛
may,할 수있다
often,자주
prefer,취하다
put,놓다
red,빨간
stone,결석
such,이러한
think,생각한다
understand,이해하다
visit,방문
around,주위에
best,베스트
call,요구
cut,절단
dinner,공식 만찬
down,하위
explain,설명
get,가져 오기
interesting,흥미로운
long,긴
move,움직임
out,밖
page,페이지
reach,범위
rest,쉬다
set,세트
should,할까요
stand,대
time,시각
up,쪽으로
age,나이
because,때문에
big,큰
