word,meaning
as though,마치 ~인 양
ravenously,게걸스럽게
luscious,맛있는
as though springs had been released in their legs,마치 다리에 스프링이 풀린 듯이
lick,핥다
chop,자르다
prowl,배회하다
examine,살펴보다
glorious,영광스러운
thread,실
saliva,침
slide down,흘러내리다
A thread of saliva slid down one side of his jaw and hung suspended in mid-air.,침 한 가닥이 그의 턱 한쪽으로 흘러내려 공중에 매달려 있었다.
suspended,매달린
overdo,과도하게 하다
We mustn't let them know what we've been up to.,우리가 무슨 일을 해왔는지 그들에게 알려서는 안 돼.
neat and tidy,깔끔하게 정돈된
morsel,한 입
no wonder,~도 아니다
smoked ham,훈제 햄
magnificent,웅장한
I'm mad about bacon!,나는 베이컨에 푹 빠졌어!
with excitement,흥분해서
carrot,당근
Don't be a twerp.,바보같이 굴지 마.
thoughtful,생각에 잠긴
loot,전리품
heap,더미
crouch,웅크리다
twitch,경련을 일으키다
fetch,가지고 오다
floorboard,마루판
Give her my love and tell her we are having guests for dinner.,그녀에게 내 안부를 전하고 우리에게 저녁 식사 손님이 있다고 말해줘.
mole,두더지
weasel,족제비
feast,잔치
the rest of us,나머지 우리들
Tell her the rest of us will be home as soon as we've done one more little job.,우리 나머지는 한 가지 작은 일만 더 하고 집에 갈 거라고 그녀에게 말해줘.
trolley,트롤리
