word,meaning
wag a tail,꼬리를 흔들다
excitement,흥분
dessert,디저트
Henry ran home to tell his father.,헨리는 아버지에게 말하기 위해 집으로 달려갔다.
basement,지하실
mustache,콧수염
Guess what?,있잖아 그런데 말이야
boot,장화 (목이 올라오는 신발)
wipe,닦다
elbow,팔꿈치
chin,턱
shovel,삽
carrot,당근
marble,구슬
broccoli,브로콜리
bedbug,빈대
break a leg,행운을 빌어
poodle,푸들
dachshund,닥스훈트
chew,씹다
alien,외계인
the judge,심사위원
feel nervous,긴장되다
collar,목줄; 목밴드
drool,침을 흘리다
leopard,표범
First place went to Abraham Lincoln.,1등은 에이브러햄 링컨에게 돌아갔다.
yell,소리치다
proudly,자랑스럽게
Henry proudly looked at his prize.,헨리는 자랑스럽게 자신의 상을 바라보았다.
messy,지저분한
