word,meaning
gasp,숨을 헐떡이다
ignore,무시하다
streak,줄무늬
in front of,~앞에서
demand,요구하다
take a break,쉬다
I took a break to zap your toaster.,네 토스터기를 고쳐 주려고 잠시 쉬었어.
gremlin,그렘린
gadget,작은 기계
nod,끄덕이다
pause,멈추다
cackle,낄낄 웃다
awesome,대단한
yell,소리치다
scream,비명 지르다
make a fuss,난리를 피우다
What are you pointing at?,무엇을 가리키는 거니?
selfish,이기적인
Leon ran down the mountain as fast as he could.,리온은 자신이 낼 수 있는 최대 속도로 산을 내려갔다.
dodge,피하다
Leon was already in real trouble.,리온은 이미 진짜 곤경에 처해 있었다.
get along with,~와 잘 지내다
Families stick together.,가족은 서로 뭉쳐야 해.
be supposed to,~하기로 되어 있다
He didn't sound so sure.,그는 그렇게 확신하지 못하는 것 같았다.
We'll never get him to read a book!,우리는 절대 그에게 책을 읽게 할 수 없을 거야!
take eyes off,눈을 떼다
miserable,비참한
unless,~이 아니면
poem,시
twitch,경련을 일으키다
sneeze,재채기하다
sprinkle,뿌리다
glittery,반짝이는
dust,가루
library,도서관
